value,date
3360,2024-02-04 09:08:08
2720,2024-02-05 08:17:36
3650,2024-02-06 22:14:32
2930,2024-02-07 13:04:47
2880,2024-02-08 09:52:43
3600,2024-02-09 10:32:14
1900,2024-02-10 00:35:09
8520,2024-02-11 22:59:51
8500,2024-02-11 23:29:54
8520,2024-02-11 23:59:51
8500,2024-02-12 00:29:54
3870,2024-02-13 07:35:33
3870,2024-02-13 08:35:33
3890,2024-02-14 07:36:14
3890,2024-02-14 08:36:14
3860,2024-02-15 11:50:41
3860,2024-02-15 12:50:41
2870,2024-02-16 07:47:18
2870,2024-02-16 08:47:18
3160,2024-02-17 07:19:13
3160,2024-02-17 08:19:13
2380,2024-02-18 21:40:35
2380,2024-02-18 22:40:35
4180,2024-02-19 07:20:05
4180,2024-02-19 08:20:05
2920,2024-02-20 07:00:14
2920,2024-02-20 08:00:14
3900,2024-02-21 07:10:58
3900,2024-02-21 08:10:58
3140,2024-02-22 05:42:32
3140,2024-02-22 06:42:32
3120,2024-02-23 05:39:07
3120,2024-02-23 06:39:07
2680,2024-02-24 06:15:39
2680,2024-02-24 07:15:39
3540,2024-02-25 17:01:51
3540,2024-02-25 18:01:51
8460,2024-02-26 23:51:53
8390,2024-02-27 00:39:16
8210,2024-02-28 01:07:24
3170,2024-02-29 08:11:58
3370,2024-03-01 09:03:28
2570,2024-03-02 09:23:06
8270,2024-03-03 23:51:40
8900,2024-03-04 22:41:14
9690,2024-03-05 22:32:32
8300,2024-03-06 00:17:57
2260,2024-03-07 22:58:43
3090,2024-03-08 10:32:35
2160,2024-03-09 04:05:38
8410,2024-03-10 23:16:39
8320,2024-03-11 01:04:48
6590,2024-03-12 04:01:19
2480,2024-03-13 00:26:58
2310,2024-03-14 22:47:18
3000,2024-03-15 22:11:00
2220,2024-03-16 02:58:47
2620,2024-03-17 22:32:09
3140,2024-03-18 08:13:35
3830,2024-03-19 08:14:26
3680,2024-03-20 00:25:20
2280,2024-03-21 08:11:35
2180,2024-03-22 07:35:20
1910,2024-03-23 22:22:00
2560,2024-03-24 08:10:17
2640,2024-03-25 08:21:04
3020,2024-03-26 10:00:37
3360,2024-03-27 08:24:33
8370,2024-03-28 23:30:49
8410,2024-03-29 00:43:44
2680,2024-03-30 11:08:04
3150,2024-03-31 09:35:26
5630,2024-04-01 19:38:44
4700,2024-04-02 12:25:07
3780,2024-04-03 12:24:48
4440,2024-04-04 12:08:29
2470,2024-04-05 13:02:26
3060,2024-04-06 10:01:07
3100,2024-04-07 20:25:04
2890,2024-04-08 18:24:58
2240,2024-04-09 12:08:04
2680,2024-04-10 13:29:03
2920,2024-04-11 08:31:52
1900,2024-04-12 22:11:40
2090,2024-04-13 22:43:36
2230,2024-04-14 19:46:40
1900,2024-04-15 20:45:52
1920,2024-04-16 22:09:47
1960,2024-04-17 09:17:39
2050,2024-04-18 12:54:31
3710,2024-04-19 23:11:04
2090,2024-04-20 00:45:35
2000,2024-04-21 12:41:49
1880,2024-04-22 00:28:55
1880,2024-04-23 00:27:14
1870,2024-04-24 04:00:49
1870,2024-04-25 22:26:28
1890,2024-04-26 22:19:19
1910,2024-04-27 22:17:40
1840,2024-04-28 04:39:33
1840,2024-04-29 22:11:46
1870,2024-04-30 22:13:24
4650,2024-05-01 12:18:30
3310,2024-05-02 09:43:56
4160,2024-05-03 12:43:21
3450,2024-05-04 08:20:01
1920,2024-05-05 01:19:38
2330,2024-05-06 18:56:34
2430,2024-05-07 08:21:11
2470,2024-05-08 10:53:58
1910,2024-05-09 02:13:07
1880,2024-05-10 22:09:03
1960,2024-05-11 22:15:17
1880,2024-05-12 11:56:44
2380,2024-05-13 15:00:25
1920,2024-05-14 22:42:33
2050,2024-05-15 19:17:54
2360,2024-05-16 16:21:42
3690,2024-05-17 00:58:48
1860,2024-05-18 00:24:02
1850,2024-05-19 22:10:00
1930,2024-05-20 23:33:52
1970,2024-05-21 22:11:20
2030,2024-05-22 20:11:58
3760,2024-05-23 00:43:15
2760,2024-05-24 14:43:57
1890,2024-05-25 22:36:15
1920,2024-05-26 22:09:03
2200,2024-05-27 19:51:25
2340,2024-05-28 12:43:03
1930,2024-05-29 23:20:05
1900,2024-05-30 22:25:54
1930,2024-05-31 22:20:31
1930,2024-06-01 22:06:20
2020,2024-06-02 20:01:38
2960,2024-06-03 00:55:31
