value,date
35103,2024-03-10
27610,2024-03-11
10543,2024-03-12
13289,2024-03-13
9488,2024-03-14
8365,2024-03-15
13180,2024-03-16
7903,2024-03-17
18983,2024-03-18
19633,2024-03-19
16300,2024-03-20
12994,2024-03-21
10108,2024-03-22
11104,2024-03-23
11560,2024-03-24
19189,2024-03-25
21661,2024-03-26
24579,2024-03-27
41156,2024-03-28
23948,2024-03-29
13361,2024-03-30
11906,2024-03-31
33843,2024-04-01
23759,2024-04-02
22037,2024-04-03
19798,2024-04-04
13667,2024-04-05
9656,2024-04-06
9906,2024-04-07
12098,2024-04-08
10008,2024-04-09
13521,2024-04-10
11449,2024-04-11
6247,2024-04-12
6677,2024-04-13
7927,2024-04-14
5484,2024-04-15
6773,2024-04-16
7808,2024-04-17
11633,2024-04-18
12533,2024-04-19
6085,2024-04-20
7615,2024-04-21
4058,2024-04-22
2400,2024-04-23
2215,2024-04-24
2154,2024-04-25
2164,2024-04-26
2153,2024-04-27
2156,2024-04-28
2175,2024-04-29
2171,2024-04-30
15970,2024-05-01
18218,2024-05-02
17454,2024-05-03
14317,2024-05-04
10508,2024-05-05
14397,2024-05-06
14360,2024-05-07
15873,2024-05-08
5234,2024-05-09
2598,2024-05-10
2872,2024-05-11
3986,2024-05-12
6303,2024-05-13
3645,2024-05-14
7247,2024-05-15
8790,2024-05-16
7129,2024-05-17
2676,2024-05-18
2268,2024-05-19
5446,2024-05-20
7083,2024-05-21
7137,2024-05-22
12085,2024-05-23
4568,2024-05-24
2571,2024-05-25
3361,2024-05-26
8747,2024-05-27
6792,2024-05-28
7133,2024-05-29
7458,2024-05-30
5637,2024-05-31
6545,2024-06-01
8022,2024-06-02
8197,2024-06-03
6288,2024-06-04
8529,2024-06-05
7689,2024-06-06
7659,2024-06-07
6878,2024-06-08
4758,2024-06-09
5838,2024-06-10
6493,2024-06-11
5624,2024-06-12
7657,2024-06-13
6469,2024-06-14
2743,2024-06-15
4082,2024-06-16
5713,2024-06-17
4975,2024-06-18
4937,2024-06-19
6805,2024-06-20
5987,2024-06-21
4825,2024-06-22
5223,2024-06-23
6045,2024-06-24
5941,2024-06-25
7744,2024-06-26
6856,2024-06-27
5309,2024-06-28
5888,2024-06-29
5084,2024-06-30
6082,2024-07-01
6549,2024-07-02
8415,2024-07-03
6741,2024-07-04
5977,2024-07-05
4529,2024-07-06
3704,2024-07-07
2826,2024-07-08
2566,2024-07-09
3789,2024-07-10
3908,2024-07-11
6808,2024-07-12
5822,2024-07-13
6516,2024-07-14
5937,2024-07-15
5703,2024-07-16
5981,2024-07-17
6995,2024-07-18
4642,2024-07-19
4747,2024-07-20
8548,2024-07-21
7317,2024-07-22
6389,2024-07-23
5277,2024-07-24
6016,2024-07-25
4739,2024-07-26
2679,2024-07-27
3460,2024-07-28
4671,2024-07-29
5213,2024-07-30
6078,2024-07-31
4650,2024-08-01
4777,2024-08-02
4317,2024-08-03
4527,2024-08-04
4103,2024-08-05
4844,2024-08-06
6304,2024-08-07
4069,2024-08-08
3281,2024-08-09
2704,2024-08-10
4256,2024-08-11
6557,2024-08-12
6368,2024-08-13
5539,2024-08-14
5987,2024-08-15
6112,2024-08-16
4301,2024-08-17
4436,2024-08-18
2840,2024-08-19
2415,2024-08-20
2316,2024-08-21
2145,2024-08-22
2186,2024-08-23
4118,2024-08-24
8142,2024-08-25
6393,2024-08-26
6199,2024-08-27
4658,2024-08-28
5476,2024-08-29
2925,2024-08-30
4948,2024-08-31
5065,2024-09-01
5767,2024-09-02
5948,2024-09-03
6431,2024-09-04
4924,2024-09-05
4668,2024-09-06
5787,2024-09-07
5564,2024-09-08
5410,2024-09-09
4785,2024-09-10
5113,2024-09-11
5376,2024-09-12
4176,2024-09-13
2880,2024-09-14
8104,2024-09-15
6661,2024-09-16
2736,2024-09-17
2283,2024-09-18
2205,2024-09-19
2183,2024-09-20
2169,2024-09-21
2158,2024-09-22
2140,2024-09-23
2177,2024-09-24
2170,2024-09-25
2134,2024-09-26
2185,2024-09-27
2112,2024-09-28
2140,2024-09-29
2146,2024-09-30
2162,2024-10-01
2145,2024-10-02
2124,2024-10-03
2150,2024-10-04
2120,2024-10-05
2129,2024-10-06
14078,2024-10-07
14965,2024-10-08
13075,2024-10-09
12895,2024-10-10
15787,2024-10-11
14575,2024-10-12
11687,2024-10-13
15535,2024-10-14
12723,2024-10-15
9436,2024-10-16
10309,2024-10-17
7931,2024-10-18
7579,2024-10-19
3052,2024-10-20
11472,2024-10-21
8693,2024-10-22
9878,2024-10-23
9514,2024-10-24
9948,2024-10-25
9738,2024-10-26
15828,2024-10-27
16122,2024-10-28
12940,2024-10-29
14053,2024-10-30
14590,2024-10-31
16261,2024-11-01
14801,2024-11-02
15643,2024-11-03
16510,2024-11-04
18125,2024-11-05
15433,2024-11-06
13973,2024-11-07
4436,2024-11-08
2527,2024-11-09
2300,2024-11-10
2293,2024-11-11
2300,2024-11-12
2289,2024-11-13
2280,2024-11-14
2276,2024-11-15
2299,2024-11-16
2286,2024-11-17
2256,2024-11-18
2299,2024-11-19
25948,2024-11-20
42069,2024-11-21
35746,2024-11-22
34011,2024-11-23
33449,2024-11-24
34654,2024-11-25
27893,2024-11-26
28884,2024-11-27
